NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1319,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9652,202302,20,"64,000",-,10,-,-,2022,청솔로 16,20230418,중개거래,대구 수성구,-
1320,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9652,202302,20,"64,000",103,10,-,-,2022,청솔로 16,-,중개거래,대구 수성구,23.04.28
1321,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202302,19,"67,000",105동,24,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.04.18
1322,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,84.9603,202302,19,"75,000",104동,11,-,-,2021,청솔로14길 15,-,중개거래,대구 수성구 대구 중구,23.08.31
1323,대구광역시 수성구 수성동1가,269-1,269,1,수성서한이다음,84.745,202302,19,"38,700",101,20,-,-,2005,수성로69길 15,-,중개거래,대구 수성구,23.05.30
1324,대구광역시 수성구 황금동,365,365,0,캐슬골드파크4단지,84.97,202302,19,"48,000",1403,10,-,-,2006,청수로 261,-,중개거래,대구 수성구,23.05.19
1325,대구광역시 수성구 수성동3가,57,57,0,수성3가롯데캐슬,100.9486,202302,19,"95,000",107,19,-,-,2008,명덕로 455,-,중개거래,대구 수성구,23.05.03
1326,대구광역시 수성구 욱수동,185-1,185,1,태왕4하이츠,115.8784,202302,19,"47,000",106,5,-,-,2004,욱수천로 27,-,중개거래,대구 수성구,23.06.09
1327,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202302,19,"56,500",104동,6,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.04.24
1328,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202302,19,"63,000",104동,24,-,-,2015,들안로78길 45,-,중개거래,대구 달성군 대구 수성구,23.12.26
1329,대구광역시 수성구 만촌동,1483,1483,0,만촌삼정그린코아에듀파크,84.9875,202302,18,"83,000",106,8,-,-,2019,교학로 65,-,중개거래,대구 수성구,23.04.10
1330,대구광역시 수성구 수성동1가,818,818,0,수성롯데캐슬THEFIRST,84.9746,202302,18,"57,000",101,4,-,-,2015,수성로69길 70,-,중개거래,대구 수성구 대구 중구,23.08.29
1331,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,204.0727,202302,18,"233,000",105,8,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.08.16
1332,대구광역시 수성구 범어동,Jul-77,77,7,범어삼성쉐르빌,84.9356,202302,18,"80,000",-,4,-,-,2010,청호로 426,20230310,중개거래,대구 수성구,-
1333,대구광역시 수성구 수성동1가,230,230,0,유성푸르나임,84.9522,202302,18,"41,000",103,9,-,-,2007,수성로75길 16,-,중개거래,대구 수성구 대구 중구,23.04.28
1334,대구광역시 수성구 매호동,1330,1330,0,누리타운,55.32,202302,18,"18,800",116,11,-,-,1995,달구벌대로637길 21,-,중개거래,대구 수성구,23.04.24
1335,대구광역시 수성구 매호동,1331,1331,0,하나타운,49.92,202302,18,"16,500",108,9,-,-,1995,고산로 123,-,중개거래,대구 수성구,23.05.09
1336,대구광역시 수성구 지산동,1190,1190,0,지산대우로얄,144.4811,202302,18,"38,000",101,1,-,-,1999,용학로36길 20,-,중개거래,대구 수성구,23.03.21
1337,대구광역시 수성구 수성동4가,1017-1,1017,1,수성태영데시앙,84.4804,202302,18,"59,000",104,15,-,-,2008,들안로 360,-,중개거래,대구 수성구,23.05.03
1338,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,84.575,202302,18,"27,000",101,6,-,-,1992,지범로40길 11,-,중개거래,대구 수성구,23.03.02
1339,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202302,18,"52,000",101,8,-,-,2020,지범로48길 21,-,중개거래,대구 수성구,23.03.24
1340,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202302,18,"58,500",108동,2,-,-,2015,들안로78길 45,-,중개거래,대구 달서구 대구 수성구,23.04.28
1341,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9899,202302,18,"68,000",104,29,-,-,2022,청솔로 16,-,중개거래,대구 수성구,23.03.10
1342,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,84.97,202302,18,"48,000",1114,10,-,-,2006,청수로 213,-,중개거래,대구 수성구,23.02.24
1343,대구광역시 수성구 만촌동,1483,1483,0,만촌삼정그린코아에듀파크,75.9909,202302,18,"72,000",106,8,-,-,2019,교학로 65,-,중개거래,대구 수성구,23.05.16
1344,대구광역시 수성구 범어동,Jul-77,77,7,범어삼성쉐르빌,84.9356,202302,18,"80,000",101,4,-,-,2010,청호로 426,-,중개거래,대구 수성구,23.03.20
1345,대구광역시 수성구 수성동3가,57,57,0,수성3가롯데캐슬,161.9811,202302,18,"109,500",106,7,-,-,2008,명덕로 455,-,중개거래,대구 수성구,23.03.31
1346,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,84.9218,202302,18,"119,000",104,20,-,-,2020,범어로18길 22,-,중개거래,대구 수성구,23.04.10
1347,대구광역시 수성구 만촌동,777,777,0,만촌우방타운2단지,59.73,202302,18,"29,500",201,1,-,-,1996,교학로11길 91,-,중개거래,대구 수성구,23.04.18
